사용기관,사용장소,state,district,road,detail1,detail2,상세주소,종류,road,
여성가족부,테라스222,서울특별시,종로구,경희궁1길,35,테라스222,서울특별시 종로구 경희궁1길 35 M빌딩 2층,양식,신문로,
여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,서울특별시 종로구 경희궁2길 12 ,기타,내수동,
여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,서울특별시 종로구 경희궁2길 12 ,기타,내수동,
여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,서울특별시 종로구 경희궁2길 12 ,기타,내수동,
여성가족부,어부가,서울특별시,종로구,경희궁길,4,어부가,서울특별시 종로구 경희궁길 4 목영빌딩,일식,신문로,
여성가족부,들풀,서울특별시,종로구,대명1길,24,들풀,서울특별시 종로구 대명1길 24 ,한식,혜화동,
여성가족부,진아춘 ,서울특별시,종로구,대명1길,18, 진아춘 ,서울특별시 종로구 대명1길 18 ,중식,명륜4가,
여성가족부,콩두,서울특별시,중구,덕수궁길,116-1,콩두,서울특별시 중구 덕수궁길 116-1 ,한식,정동,
여성가족부,에코밥상,서울특별시,종로구,사직로,127-14,에코밥상,서울특별시 종로구 사직로 127-14 ,한식,적선동,
여성가족부,아일(Ah1) ,서울특별시,종로구,사직로8길,34, 아일(Ah1) ,서울특별시 종로구 사직로8길 34 ,기타,내수동,
여성가족부,웨스트코너 ,서울특별시,종로구,사직로8길,11, 웨스트코너 ,서울특별시 종로구 사직로8길 11 ,양식,필운동,
여성가족부,소문,서울특별시,종로구,새문안로3길,36,소문,서울특별시 종로구 새문안로3길 36 ,한식,내수동,
여성가족부,썬앳푸드 ,서울특별시,종로구,새문안로3길,15, 썬앳푸드 ,서울특별시 종로구 새문안로3길 15 ,기타,당주동,
여성가족부,순남시래기 광화문점 ,서울특별시,종로구,새문안로5가길,28, 순남시래기 광화문점 ,서울특별시 종로구 새문안로5가길 28 ,한식,적선동,
여성가족부,금강산,서울특별시,종로구,새문안로5길,37,금강산,서울특별시 종로구 새문안로5길 37 ,한식,도렴동,
여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,서울특별시 종로구 새문안로5길 31센터포인트광화문 ,중식,도렴동,
여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,서울특별시 종로구 새문안로5길 31센터포인트광화문 ,중식,도렴동,
여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,서울특별시 종로구 새문안로5길 31센터포인트광화문 ,중식,도렴동,
여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,서울특별시 종로구 새문안로5길 31센터포인트광화문 ,중식,도렴동,
여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,서울특별시 종로구 새문안로5길 31센터포인트광화문 ,중식,도렴동,
여성가족부,소호정 충정로점,서울특별시,중구,서소문로,50,소호정 충정로점,서울특별시 중구 서소문로 50 ,한식,중림동,
여성가족부,서초원,서울특별시,서초구,서초대로,283,서초원,서울특별시 서초구 서초대로 283 남촌빌딩B1,한식,서초동,
여성가족부,부산집,서울특별시,강남구,선릉로157길,21,부산집,서울특별시 강남구 선릉로157길 21 ,한식,신사동,
여성가족부,광화문 아띠,서울특별시,종로구,세종대로,175,광화문 아띠,서울특별시 종로구 세종대로 175 ,양식,세종로,
여성가족부,광화문 아띠 ,서울특별시,종로구,세종대로,175,광화문 아띠,서울특별시 종로구 세종대로 175 ,양식,세종로,
여성가족부,라피아짜,서울특별시,종로구,세종대로,175,라피아짜,서울특별시 종로구 세종대로 175 ,양식,세종로,
여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,서울특별시 중구 세종대로 136 ,양식,태평로,
여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,서울특별시 중구 세종대로 136 ,양식,태평로,
여성가족부,식객촌 태평로점,서울특별시,중구,세종대로,55,식객촌 태평로점,서울특별시 중구 세종대로 55 ,한식,태평로,
여성가족부,대복집,서울특별시,중구,세종대로14길,22,대복집,서울특별시 중구 세종대로14길 22 ,한식,북창동,
여성가족부,썬앳푸드,서울특별시,종로구,신문로2가,92,썬앳푸드,서울특별시 종로구 신문로2가 92 ,기타,당주동,
여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,서울특별시 강남구 언주로 123 ,양식,도곡동,
여성가족부,운산,서울특별시,영등포구,여의공원로,101,운산,서울특별시 영등포구 여의공원로 101 ,한식,여의도동,
여성가족부,운산 ,서울특별시,영등포구,여의공원로,101, 운산 ,서울특별시 영등포구 여의공원로 101 ,한식,여의도동,
여성가족부,광화문 해리 ,서울특별시,종로구,율곡로,6, 광화문 해리 ,서울특별시 종로구 율곡로 6 ,한식,중학동,
여성가족부,노조미,서울특별시,영등포구,은행로,3,노조미,서울특별시 영등포구 은행로 3 ,일식,여의도동,
여성가족부,아라베스크 ,서울특별시,용산구,이태원로,227, 아라베스크 ,서울특별시 용산구 이태원로 227 ,기타,한남동,
여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),서울특별시 종로구 인사동11길 23 ,양식,견지동,
여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),서울특별시 종로구 인사동11길 23 ,양식,견지동,
여성가족부,누리,서울특별시,종로구,인사동14길,23,누리,서울특별시 종로구 인사동14길 23 ,한식,관훈동,
여성가족부,수연 ,서울특별시,종로구,인사동14길,43243, 수연 ,서울특별시 종로구 인사동14길 24-5,한식,관훈동,
여성가족부,수연 ,서울특별시,종로구,인사동14길,05월 24일, 수연 ,서울특별시 종로구 인사동14길 24-5,한식,관훈동,
여성가족부,소소한 풍경,서울특별시,종로구,자하문로,40길,소소한 풍경,서울특별시 종로구 자하문로 40길 75,한식,부암동,
여성가족부,조우,서울특별시,종로구,자하문로,12175,조우,서울특별시 종로구 자하문로 33-5,양식,통인동,
여성가족부,지화자 청운점 ,서울특별시,종로구,자하문로,125, 지화자 청운점 ,서울특별시 종로구 자하문로 125 48,한식,청운효자동,
여성가족부,더솔키친,서울특별시,종로구,자하문로10길,36,더솔키친,서울특별시 종로구 자하문로10길 36 ,양식,통의동,
여성가족부,더솔키친 ,서울특별시,종로구,자하문로10길,36, 더솔키친 ,서울특별시 종로구 자하문로10길 36 ,양식,통의동,
여성가족부,마지 ,서울특별시,종로구,자하문로5길,19, 마지 ,서울특별시 종로구 자하문로5길 19 ,한식,체부동,
여성가족부,가스트로 통,서울특별시,종로구,자하문로6길,11-36,가스트로 통,서울특별시 종로구 자하문로6길 11-36 ,양식,통의동,
여성가족부,곰솔,서울특별시,종로구,자하문로8길,9,곰솔,서울특별시 종로구 자하문로8길 9 ,한식,통의동,
여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,서울특별시 종로구 창덕궁1길 2 ,한식,원서동,
여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,서울특별시 종로구 창덕궁1길 2 ,한식,원서동,
여성가족부,용수산 ,서울특별시,종로구,창덕궁1길,2, 용수산 ,서울특별시 종로구 창덕궁1길 2 ,한식,원서동,
여성가족부,용수산 ,서울특별시,종로구,창덕궁1길,2, 용수산 ,서울특별시 종로구 창덕궁1길 2 ,한식,원서동,
여성가족부,용수산 ,서울특별시,종로구,창덕궁1길,2, 용수산 ,서울특별시 종로구 창덕궁1길 2 ,한식,원서동,
여성가족부,한미리 광화문점 ,서울특별시,중구,청계천로,8프리미어플레이스,한미리 광화문,서울특별시 중구 청계천로 8프리미어플레이스 ,한식,무교동,
여성가족부,한미리 광화문점 ,서울특별시,중구,청계천로,8프리미어플레이스, 한미리 광화문점 ,서울특별시 중구 청계천로 8프리미어플레이스 ,한식,무교동,
여성가족부,한미리 광화문점 ,서울특별시,중구,청계천로,8프리미어플레이스, 한미리 광화문점 ,서울특별시 중구 청계천로 8프리미어플레이스 ,한식,무교동,
여성가족부,퍼스트플로어,서울특별시,중구,통일로,78,퍼스트플로어,서울특별시 중구 통일로 78 ,양식,순화동,
여성가족부,선인재,서울특별시,종로구,필운대로,35-16,선인재,서울특별시 종로구 필운대로 35-16 ,한식,누하동,
여성가족부,푸주옥설렁탕 ,서울특별시,용산구,한강대로17길,11, 푸주옥설렁탕 ,서울특별시 용산구 한강대로17길 11 ,한식,한강로동,
여성가족부,비스트로친친,서울특별시,종로구,효자로13길,54,비스트로친친,서울특별시 종로구 효자로13길 54 ,양식,청운효자동,
,,,,,,,,,,
